FID,CruiseID,Survey,Date_,Time_UTC,StnCode,GearCode,GearName,StnNumber,Replicate,FixNumber,DecLat84,DecLon84,DepthBH,No_Sample
ME5301_ActualPositions_RC20130128.1,CEND1509,Torbay Transect (TB),27/10/2009,00:50,TORSPI01,SPI Cam,SPI plus Video Camera,7,A,10,50.42803,-3.442068,33,
ME5301_ActualPositions_RC20130128.2,CEND1509,Torbay Transect (TB),27/10/2009,00:54,TORSPI01,SPI Cam,SPI plus Video Camera,7,B,11,50.4281,-3.442001,33,
ME5301_ActualPositions_RC20130128.3,CEND1509,Torbay Transect (TB),27/10/2009,00:57,TORSPI01,SPI Cam,SPI plus Video Camera,7,C,12,50.42818,-3.441928,33,
ME5301_ActualPositions_RC20130128.4,CEND1509,Torbay Transect (TB),27/10/2009,00:59,TORSPI01,SPI Cam,SPI plus Video Camera,7,D,13,50.42825,-3.441855,33,
ME5301_ActualPositions_RC20130128.5,CEND1509,Torbay Transect (TB),27/10/2009,01:02,TORSPI01,SPI Cam,SPI plus Video Camera,7,E,14,50.42841,-3.44171,33,
ME5301_ActualPositions_RC20130128.6,CEND1509,Torbay Transect (TB),27/10/2009,01:37,TORSPI02,SPI Cam,SPI plus Video Camera,8,A,15,50.4058,-3.403711,42,
ME5301_ActualPositions_RC20130128.7,CEND1509,Torbay Transect (TB),27/10/2009,01:39,TORSPI02,SPI Cam,SPI plus Video Camera,8,B,16,50.40583,-3.403584,42,
ME5301_ActualPositions_RC20130128.8,CEND1509,Torbay Transect (TB),27/10/2009,01:41,TORSPI02,SPI Cam,SPI plus Video Camera,8,C,17,50.40588,-3.40346,42,
ME5301_ActualPositions_RC20130128.9,CEND1509,Torbay Transect (TB),27/10/2009,01:44,TORSPI02,SPI Cam,SPI plus Video Camera,8,D,18,50.40592,-3.40334,42,
ME5301_ActualPositions_RC20130128.10,CEND1509,Torbay Transect (TB),27/10/2009,01:47,TORSPI02,SPI Cam,SPI plus Video Camera,8,E,19,50.40597,-3.403214,42,
ME5301_ActualPositions_RC20130128.11,CEND1509,Torbay Transect (TB),27/10/2009,02:16,TORSPI03,SPI Cam,SPI plus Video Camera,9,A,20,50.38306,-3.364152,50,
ME5301_ActualPositions_RC20130128.12,CEND1509,Torbay Transect (TB),27/10/2009,02:19,TORSPI03,SPI Cam,SPI plus Video Camera,9,B,21,50.3831,-3.364051,50,
ME5301_ActualPositions_RC20130128.13,CEND1509,Torbay Transect (TB),27/10/2009,02:21,TORSPI03,SPI Cam,SPI plus Video Camera,9,C,22,50.38316,-3.363938,50,
ME5301_ActualPositions_RC20130128.14,CEND1509,Torbay Transect (TB),27/10/2009,02:24,TORSPI03,SPI Cam,SPI plus Video Camera,9,D,23,50.38321,-3.363803,50,
ME5301_ActualPositions_RC20130128.15,CEND1509,Torbay Transect (TB),27/10/2009,02:27,TORSPI03,SPI Cam,SPI plus Video Camera,9,E,24,50.38325,-3.363698,50,
ME5301_ActualPositions_RC20130128.16,CEND1509,Torbay Transect (TB),27/10/2009,02:57,TORSPI04,SPI Cam,SPI plus Video Camera,10,A,25,50.36055,-3.325548,52,
ME5301_ActualPositions_RC20130128.17,CEND1509,Torbay Transect (TB),27/10/2009,02:59,TORSPI04,SPI Cam,SPI plus Video Camera,10,B,26,50.36058,-3.325424,52,
ME5301_ActualPositions_RC20130128.18,CEND1509,Torbay Transect (TB),27/10/2009,03:01,TORSPI04,SPI Cam,SPI plus Video Camera,10,C,27,50.36063,-3.3253,52,
ME5301_ActualPositions_RC20130128.19,CEND1509,Torbay Transect (TB),27/10/2009,03:04,TORSPI04,SPI Cam,SPI plus Video Camera,10,D,28,50.36066,-3.325174,52,
